address,flat_type,avg resale price,lon,lat
105 GANGSA RD SINGAPORE,4 ROOM,313000,103.7677264,1.3782744
105 HENDERSON CRES SINGAPORE,3 ROOM,335218.75,103.8225544,1.2901396
105 JLN RAJAH SINGAPORE,EXECUTIVE,756222.2222222222,103.8540088,1.3286387
105 JURONG EAST ST 13 SINGAPORE,4 ROOM,448250,103.7383752,1.3372922
105 PASIR RIS ST 12 SINGAPORE,4 ROOM,388333.3333333333,103.9572281,1.368527
105 PASIR RIS ST 12 SINGAPORE,5 ROOM,455600,103.9572281,1.368527
105 POTONG PASIR AVE 1 SINGAPORE,3 ROOM,410000,103.8687748,1.3344885
105 POTONG PASIR AVE 1 SINGAPORE,4 ROOM,585000,103.8687748,1.3344885
105 RIVERVALE WALK SINGAPORE,4 ROOM,365000,103.9007038,1.3821683
105 SERANGOON NTH AVE 1 SINGAPORE,3 ROOM,271987.55555555556,103.8701338,1.3702143
105 SIMEI ST 1 SINGAPORE,EXECUTIVE,667666.6666666666,103.9505387,1.3411909
105 TAMPINES ST 11 SINGAPORE,3 ROOM,319100,103.9468935,1.3480158
105 TAMPINES ST 11 SINGAPORE,4 ROOM,454000,103.9468935,1.3480158
105 TECK WHYE LANE SINGAPORE,3 ROOM,271000,103.753129,1.3776457
105 TOWNER RD SINGAPORE,3 ROOM,422100,103.8610741,1.3205548
105 TOWNER RD SINGAPORE,4 ROOM,589000,103.8610741,1.3205548
105 WOODLANDS ST 13 SINGAPORE,4 ROOM,327337.53846153844,103.7815558,1.436891
105A EDGEFIELD PLAINS SINGAPORE,4 ROOM,350000,103.9058262,1.3971031
105A EDGEFIELD PLAINS SINGAPORE,5 ROOM,418500,103.9058262,1.3971031
105B EDGEFIELD PLAINS SINGAPORE,4 ROOM,345000,103.906206,1.397269
105B EDGEFIELD PLAINS SINGAPORE,5 ROOM,431500,103.906206,1.397269
105C EDGEFIELD PLAINS SINGAPORE,4 ROOM,355333.3333333333,103.905595,1.397623
105C EDGEFIELD PLAINS SINGAPORE,5 ROOM,426714.28571428574,103.905595,1.397623
105D EDGEFIELD PLAINS SINGAPORE,4 ROOM,360000,103.905293,1.397401
105D EDGEFIELD PLAINS SINGAPORE,5 ROOM,411600,103.905293,1.397401
106 ALJUNIED CRES SINGAPORE,3 ROOM,341727.2727272727,103.8829083,1.319113
106 ALJUNIED CRES SINGAPORE,5 ROOM,620000,103.8829083,1.319113
106 ANG MO KIO AVE 4 SINGAPORE,3 ROOM,325875,103.8375217,1.3720185
106 ANG MO KIO AVE 4 SINGAPORE,4 ROOM,410000,103.8375217,1.3720185
106 BEDOK NTH AVE 4 SINGAPORE,2 ROOM,210166.66666666666,103.9370129,1.334388
106 BEDOK RESERVOIR RD SINGAPORE,4 ROOM,381285.71428571426,103.9094598,1.3294979
106 BISHAN ST 12 SINGAPORE,4 ROOM,535375,103.8477574,1.3461032
106 BT BATOK CTRL SINGAPORE,4 ROOM,409169.6666666667,103.7469767,1.3481564
106 BT PURMEI RD SINGAPORE,3 ROOM,360000,103.8256575,1.2730751
106 BT PURMEI RD SINGAPORE,4 ROOM,525000,103.8256575,1.2730751
106 GANGSA RD SINGAPORE,3 ROOM,290000,103.7674096,1.3779831
106 GANGSA RD SINGAPORE,4 ROOM,334666.6666666667,103.7674096,1.3779831
106 HENDERSON CRES SINGAPORE,4 ROOM,474612.5714285714,103.8222827,1.2896292
106 HOUGANG AVE 1 SINGAPORE,3 ROOM,269000,103.8908827,1.35398
106 JLN DUSUN SINGAPORE,4 ROOM,479629.3333333333,103.8446775,1.3285517
106 JLN RAJAH SINGAPORE,EXECUTIVE,750500,103.854732,1.3285642
106 JURONG EAST ST 13 SINGAPORE,5 ROOM,618333.3333333334,103.7376511,1.3372962
106 LENGKONG TIGA SINGAPORE,EXECUTIVE,841666.6666666666,103.909913,1.3251052
106 PASIR RIS ST 12 SINGAPORE,4 ROOM,385000,103.9578627,1.3679374
106 POTONG PASIR AVE 1 SINGAPORE,3 ROOM,384172,103.8680431,1.3341951
106 RIVERVALE WALK SINGAPORE,4 ROOM,357000,103.9003079,1.382547
106 SERANGOON NTH AVE 1 SINGAPORE,3 ROOM,250750,103.8710665,1.370187
106 SIMEI ST 1 SINGAPORE,4 ROOM,466166.6666666667,103.9509502,1.3418627
106 SIMEI ST 1 SINGAPORE,5 ROOM,515000,103.9509502,1.3418627
106 SPOTTISWOODE PK RD SINGAPORE,5 ROOM,721989.8181818182,103.8340797,1.2736078
106 TAMPINES ST 11 SINGAPORE,5 ROOM,565000,103.9477094,1.3475719
106 TECK WHYE LANE SINGAPORE,3 ROOM,271666.6666666667,103.7528575,1.3779405
106 TECK WHYE LANE SINGAPORE,4 ROOM,306500,103.7528575,1.3779405
106 TOWNER RD SINGAPORE,4 ROOM,652500,103.8609608,1.3210859
106 TOWNER RD SINGAPORE,5 ROOM,808333.3333333334,103.8609608,1.3210859
106 WOODLANDS ST 13 SINGAPORE,3 ROOM,285000,103.7822802,1.4367398
106 WOODLANDS ST 13 SINGAPORE,4 ROOM,333888,103.7822802,1.4367398
106 YISHUN RING RD SINGAPORE,3 ROOM,246333.33333333334,103.827332,1.431509
106A DEPOT RD SINGAPORE,4 ROOM,632500,103.8110816,1.2806767
106A DEPOT RD SINGAPORE,5 ROOM,677500,103.8110816,1.2806767
106A PUNGGOL FIELD SINGAPORE,4 ROOM,347750,103.9085083,1.3966937
106A PUNGGOL FIELD SINGAPORE,5 ROOM,411984,103.9085083,1.3966937
106B DEPOT RD SINGAPORE,4 ROOM,561481.3333333334,103.8107192,1.2806786
106B DEPOT RD SINGAPORE,5 ROOM,601944,103.8107192,1.2806786
106B PUNGGOL FIELD SINGAPORE,4 ROOM,367666.6666666667,103.9078606,1.3972472
106B PUNGGOL FIELD SINGAPORE,5 ROOM,421000,103.9078606,1.3972472
106C PUNGGOL FIELD SINGAPORE,4 ROOM,378000,103.9075484,1.397392
106C PUNGGOL FIELD SINGAPORE,5 ROOM,429933.3333333333,103.9075484,1.397392
